1 		Bob Dylan 	Like a Rolling Stone 	6:04 	95.6 	1965 	Rock 1960s 	POWERTRK_155-14 	(details...)
2 		The Rolling Stones 	Satisfaction 	3:43 	134.7 	1985 	Rock 1980s 	ESSENTLS_012-13 	(details...)
3 		John Lennon 	Imagine 	3:02 	152.6 	1971 	Slow 	POWERTRK_023-07 	(details...)
4 		Marvin Gaye 	What's Going On 	3:47 	101.5 	1971 	Dance 1970s 	POWERTRK_085-07 	(details...)
5 		Aretha Franklin 	Respect 	2:23 	114.5 	1967 	Rock 1960s 	POWERTRK_046-16 	(details...)
6 		The Beach Boys 	Good Vibrations 	3:36 	148.8 	1966 	Rock 1960s 	POWERTRK_032-08 	(details...)
7 		Chuck Berry 	Johnny B. Goode 	2:38 	84.1 	1958 	Rock 1950s 	POWERTRK_021-12 	(details...)
8 		The Beatles 	Hey Jude 	7:08 	146.9 	1969 	Rock 1960s 	BEATLES__BLA-13 	(details...)
9 		Nirvana 	Smells Like Teen Spirit 	5:01 	117.5 	1991 	Rock 1990s 	POWERTRK_022-01 	(details...)
10 		Ray Charles 	What'd I Say (Parts 1 And 2) 	5:06 	89.6 	1959 	Rock 1950s 	POWERTRK_071-16 	(details...)
11 		The Who 	My Generation 	3:17 	97.2 	1966 	Rock 1960s 	POWERTRK_043-14 	(details...)
12 		Sam Cooke 	A Change Is Gonna Come 	3:13 	138.3 	1960 	TBD 	DTRANDOM_005-16 	(details...)
13 		The Beatles 	Yesterday 	2:05 	97.6 	1966 	Rock 1960s 	BEATLES__RDA-13 	(details...)
14 		Bob Dylan 	Blowin' in the Wind 	2:46 	93.8 	1967 	TBD 	HOTSTUFF_026-19 	(details...)
15 		The Clash 	London Calling 	3:18 	134.3 	1979 	Rock 1970s 	POWERTRK_084-13 	(details...)
16 		The Beatles 	I Want to Hold Your Hand 	2:26 	131.1 	1966 	Rock 1960s 	BEATLES__RDA-05 	(details...)
17 		Jimi Hendrix 	Purple Haze 	2:50 	110.2 	1968 	Rock 1960s 	POWERTRK_042-13 	(details...)
18 		Chuck Berry 	Maybellene 	2:19 	118.4 	1955 	Rock 1950s 	POWERTRK_095-13 	(details...)
19 		Elvis Presley 	Hound Dog 	2:15 	88.8 	1956 	Rock 1950s 	POWERTRK_023-06 	(details...)
20 		The Beatles 	Let It Be 	3:52 	137.5 	1969 	Rock 1960s 	BEATLES__BLB-12 	(details...)
21 		Bruce Springsteen 	Born to Run 	4:30 	146.3 	1975 	Rock 1970s 	POWERTRK_090-08 	(details...)
22 		The Ronettes 	Be My Baby 	2:37 	128.0 	1963 	Dance 1960s 	POWERTRK_162-14 	(details...)
23 		The Beatles 	In My Life 	2:27 	103.7 	1966 	Rock 1960s 	BEATLES__RDB-09 	(details...)
24 		The Impressions 	People Get Ready 	2:38 	120.4 	2003 	TBD 	DTRANDOM_002-18 	(details...)
25 		The Beach Boys 	God Only Knows 	2:52 	116.6 	1966 	TBD 	DTRANDOM_006-02 	(details...)
26 		The Beatles 	A Day in the Life 	5:06 	130.3 	1969 	Rock 1960s 	BEATLES__BLA-06 	(details...)
27 		Derek & The Dominos 	Layla 	7:04 	115.2 	1972 	Rock 1970s 	POWERTRK_024-01 	(details...)
28 		Otis Redding 	(Sittin' On) the Dock of the Bay 	2:41 	103.3 	1968 	Slow 	POWERTRK_044-13 	(details...)
29 		The Beatles 	Help! 	2:20 	95.2 	1966 	Rock 1960s 	BEATLES__RDB-01 	(details...)
30 		Johnny Cash 	I Walk the Line 	2:41 	106.4 	1956 	Country 	POWERTRK_026-17 	(details...)
31 		Led Zeppelin 	Stairway to Heaven 	7:59 	99.7 	1971 	Slow 	POWERTRK_046-10 	(details...)
